City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.33,60.01,72,100,1.99,overcast clouds
1,Paamiut,GL,61.99,-49.67,28.54,91,100,17.34,light snow
2,Chara,RU,56.91,118.26,-21.98,74,98,1.45,overcast clouds
3,Albany,US,42.6,-73.97,42.01,71,76,5.21,broken clouds
4,Mataura,NZ,-46.19,168.86,63.0,58,63,4.0,broken clouds
5,Geraldton,AU,-28.77,114.6,84.2,18,51,17.22,broken clouds
6,Arraial Do Cabo,BR,-22.97,-42.03,78.8,74,75,12.75,moderate rain
7,Suluq,LY,31.67,20.25,55.76,66,0,3.76,clear sky
8,Hobart,AU,-42.88,147.33,57.99,54,20,10.29,few clouds
9,Polyarnyy,RU,69.2,33.45,23.0,85,75,2.24,broken clouds
10,Baldeogarh,IN,24.75,79.07,48.56,50,0,5.44,clear sky
11,Dikson,RU,73.51,80.55,-24.2,86,96,10.0,overcast clouds
12,Boden,SE,65.83,21.69,32.0,98,90,11.41,light snow
13,Saint-Philippe,RE,-21.36,55.77,78.8,69,75,18.34,broken clouds
14,Priladozhskiy,RU,59.85,31.48,25.0,61,83,15.59,broken clouds
15,Belmonte,BR,-15.86,-38.88,84.2,70,20,2.24,few clouds
16,College,US,64.86,-147.8,17.6,84,40,4.7,scattered clouds
17,Avarua,CK,-21.21,-159.78,82.4,74,56,11.41,broken clouds
18,Pevek,RU,69.7,170.31,-23.58,86,0,2.08,clear sky
19,Ushumun,RU,52.78,126.53,-18.18,83,62,9.51,broken clouds
20,Port Elizabeth,ZA,-33.92,25.57,69.8,88,0,13.87,clear sky
21,Hilo,US,19.73,-155.09,78.8,65,1,6.93,clear sky
22,Puerto Ayora,EC,-0.74,-90.35,80.6,69,75,9.17,broken clouds
23,Bambous Virieux,MU,-20.34,57.76,77.0,83,75,3.36,broken clouds
24,Rikitea,PF,-23.12,-134.97,78.53,79,100,17.81,moderate rain
25,Fortuna,US,40.6,-124.16,53.01,70,1,4.47,clear sky
26,Butaritari,KI,3.07,172.79,81.0,80,38,20.51,scattered clouds
27,Barrow,US,71.29,-156.79,3.2,77,90,6.93,overcast clouds
28,Ribeira Grande,PT,38.52,-28.7,57.2,82,75,10.29,broken clouds
29,Cape Town,ZA,-33.93,18.42,68.0,72,20,13.87,few clouds
30,Ponta Do Sol,PT,32.67,-17.1,60.8,59,75,12.75,broken clouds
31,Ushuaia,AR,-54.8,-68.3,50.0,81,75,21.92,light rain
32,New Norfolk,AU,-42.78,147.06,57.99,59,19,1.01,few clouds
33,Rawson,AR,-43.3,-65.1,81.48,43,65,16.62,broken clouds
34,Nabire,ID,-3.37,135.48,76.21,81,100,2.82,overcast clouds
35,Pisco,PE,-13.7,-76.22,75.2,73,75,11.41,moderate rain
36,Bredasdorp,ZA,-34.53,20.04,66.2,68,52,4.7,broken clouds
37,Tilichiki,RU,60.47,166.1,-1.21,92,100,10.8,overcast clouds
38,Abu Dhabi,AE,24.47,54.37,68.0,72,0,3.36,clear sky
39,Beloha,MG,-25.17,45.05,79.72,59,64,7.27,broken clouds
40,Dunedin,NZ,-45.87,170.5,57.34,65,0,10.63,clear sky
41,Ilulissat,GL,69.22,-51.1,28.4,74,75,5.82,broken clouds
42,Nikolskoye,RU,59.7,30.79,28.4,74,20,11.18,few clouds
43,Sivaki,RU,52.63,126.75,-20.42,84,61,8.32,broken clouds
44,Naze,JP,28.37,129.48,68.0,72,90,12.75,overcast clouds
45,Port Hedland,AU,-20.32,118.57,82.4,83,57,6.93,broken clouds
46,Kodiak,US,57.79,-152.41,37.4,86,1,5.82,clear sky
47,Narsaq,GL,60.92,-46.05,32.0,96,75,1.12,light snow
48,Saldanha,ZA,-33.01,17.94,62.6,77,0,9.17,clear sky
49,Port Macquarie,AU,-31.43,152.92,73.99,82,84,3.06,broken clouds
50,East London,ZA,-33.02,27.91,73.78,81,69,19.3,broken clouds
51,Severo-Kurilsk,RU,50.68,156.12,24.44,96,100,32.73,snow
52,Victoria,HK,22.29,114.16,66.99,78,94,12.59,overcast clouds
53,Vaini,TO,-21.2,-175.2,78.8,88,75,4.7,light rain
54,Kouqian,CN,43.64,126.46,-3.15,90,53,2.24,broken clouds
55,Marsa Matruh,EG,31.35,27.25,53.6,76,0,2.21,clear sky
56,Visnagar,IN,23.7,72.55,53.6,37,11,4.7,smoke
57,Yar-Sale,RU,66.83,70.83,-12.46,89,100,14.52,light snow
58,Anadyr,RU,64.75,177.48,17.6,78,75,35.79,light snow
59,Umm Lajj,SA,25.02,37.27,75.29,54,19,6.85,few clouds
60,Punta Arenas,CL,-53.15,-70.92,60.8,52,20,13.87,few clouds
61,Hithadhoo,MV,-0.6,73.08,81.86,77,56,9.62,broken clouds
62,Bonavista,CA,48.65,-53.11,26.6,73,32,5.23,scattered clouds
63,Jamestown,US,42.1,-79.24,33.01,80,90,17.22,light snow
